GEOid,GEOid2,STATEid,countyname,pop,unemp,occ1,occ2,occ3,occ4,occ5,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,indtotal,ind color,workertype1,workertype2,workertype3,workertype4,earningincomepercent,sspercent,ssbenefit,retireincomepercent,retireincomebenefit,ssipercent,ssibenefit,cashassistpercent,cashassistbenefit,snappercent,nohealthinspercent,familypovertypercent
GEO.id,GEO.id2,state.id,GEO.display-label,HC01_VC03,HC01_VC12,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC45,HC01_VC49,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,max,maxcategory,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC70,HC01_VC89,HC01_VC91,HC01_VC92,HC01_VC93,HC01_VC94,HC01_VC97,HC01_VC98,HC01_VC99,HC01_VC100,HC01_VC101,HC01_VC135,HC01_VC162
Id,Id2,GEOIDstate,Geography,2011-2015 Estimates; EMPLOYMENT STATUS - Population 16 years and over,2011-2015 Estimates; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,"2011-2015 Estimates; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations",2011-2015 Estimates; OCCUPATION - Civilian employed population 16 years and over - Service occupations,2011-2015 Estimates; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations,"2011-2015 Estimates; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations","2011-2015 Estimates; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over,"2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining",2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Construction,2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Manufacturing,2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Wholesale trade,2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Retail trade,"2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Transportation and warehousing, and utilities",2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Information,"2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing","2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services","2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Educational services, and health care and social assistance","2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services","2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Other services, except public administration",2011-2015 Estimates; INDUSTRY - Civilian employed population 16 years and over - Public administration,,,2011-2015 Estimates; CLASS OF WORKER - Civilian employed population 16 years and over - Private wage and salary workers,2011-2015 Estimates; CLASS OF WORKER - Civilian employed population 16 years and over - Government workers,2011-2015 Estimates; CLASS OF WORKER - Civilian employed population 16 years and over - Self-employed in own not incorporated business workers,2011-2015 Estimates; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers,2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings,2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With Social Security,2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars),2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With retirement income,2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars),2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income,2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars),2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income,2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars),2011-2015 Estimates; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,2011-2015 Estimates; HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - No health insurance coverage,2011-2015 Estimates; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
0500000US01001,1001,1,"Autauga County, Alabama",42801,7.6,33.2,17,24.2,8.6,17.1,23986,1.4,5.4,14.1,3.4,11.2,5.9,1.2,5.2,7.7,18.8,7.9,6.4,11.2,18.8,ind11,73.6,20.9,5.5,0,75.6,31.9,17783,24.5,25003,5.7,8650,2.6,1380,13.8,10.1,9.3
0500000US01003,1003,1,"Baldwin County, Alabama",156379,7.5,33.1,17.7,27.1,10.8,11.2,85953,1.5,8,9.3,2.8,15.2,4.6,1.6,6.4,9.8,19.9,11.4,4.9,4.7,19.9,ind11,81.5,12.3,5.8,0.4,72.5,37.4,18879,23.8,25104,3.9,8772,2.2,3338,9,13,9.6
0500000US01005,1005,1,"Barbour County, Alabama",21785,17.6,26.8,16.1,23.1,10.8,23.1,8597,3.4,5.6,21.8,2.8,12.7,5.7,0.5,3.4,6,19.6,6.7,3.7,8,21.8,ind4,71.8,20.8,7.3,0.1,65,40.1,15183,20.1,17386,12.2,8609,2,1908,26,15.5,19.5
0500000US01007,1007,1,"Bibb County, Alabama",18339,8.3,21.5,17.9,17.8,19,23.7,8294,5.2,10.7,19.5,2.4,9.9,5.3,0.3,3,5.4,22.7,5.4,6.6,3.7,22.7,ind11,76.8,16.1,6.7,0.4,68,41.1,17411,22.2,15139,6.9,9321,7.6,2907,15.8,9.7,12.8
0500000US01009,1009,1,"Blount County, Alabama",45839,7.7,28.5,14.1,23.9,13.5,19.9,22189,3.1,8.3,16,3.5,11.6,7,1.3,4.2,6.5,20.8,5.5,7,5.1,20.8,ind11,82,13.5,4.2,0.4,71.8,36.2,18312,19.6,19411,6.7,10579,1.1,3387,13.5,11.6,12.3
0500000US01011,1011,1,"Bullock County, Alabama",8653,18,18.8,15,19.7,20.1,26.4,3865,15.2,9,20.1,1.1,11.9,3,0.7,5,4.2,15.7,3.7,3.5,7,20.1,ind4,79.5,15.1,5.4,0,62.5,40.7,13420,19.8,20466,12.2,12636,4.6,1240,23.1,18.1,22.7
0500000US01013,1013,1,"Butler County, Alabama",16215,10.9,27.5,16.6,21.9,10.3,23.7,7813,3.8,7.2,19.9,1.6,14.1,5.2,1.6,3,5.1,21.6,6.8,4.7,5.5,21.6,ind11,77.4,16.2,6.2,0.2,66.5,41.2,15675,16.6,18680,9.8,8209,1.6,2163,23.5,12.3,20.5
0500000US01015,1015,1,"Calhoun County, Alabama",93346,12.3,27.3,17.7,24.2,10.5,20.4,47401,0.7,5.7,17.3,2.2,12,4.7,1.5,3.8,7.8,22.1,9.4,4.6,8.2,22.1,ind11,74.1,20.8,5,0.1,72.1,39.1,15892,24.8,20774,7.5,8476,2,3259,20.3,11.9,16.5
